#feid	gene_name	gene_id	pub_ref	pub_desc	organism_id	assay	molecule_assayed	stage	sex	anatomy	expression_uniquename	anatomy_desc	anatomy_id	start_stage_name	start_stage_id	end_stage_name	end_stage_id
100080	Or42b	FBgn0033043	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or42b	FBex0014101	adult olfactory receptor neuron Or42b	FBbt:00067046	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100081	Or92a	FBgn0038798	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or92a	FBex0014124	adult olfactory receptor neuron Or92a	FBbt:00067059	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100082	Or59b	FBgn0034865	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or59b	FBex0014108	adult olfactory receptor neuron Or59b	FBbt:00067003	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100083	Or22a	FBgn0026398	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or22	FBex0014097	adult olfactory receptor neuron Or22	FBbt:00067025	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100084	Or85b	FBgn0037590	FBrf0208960	Bai et al., 2009, J. Neurosci. 29(41): 12940--12947	1	in situ	RNA	adult stage	not specified	adult olfactory receptor neuron Or85b/98b	FBex0014120	adult olfactory receptor neuron Or85b/98b	FBbt:00007389	adult stage	FBdv:00005369	adult stage	FBdv:00005369
100135	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	presumptive embryonic salivary gland	FBex0018692	presumptive embryonic salivary gland	FBbt:00005620	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100136	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic proventriculus	FBex0018693	embryonic proventriculus	FBbt:00005607	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100137	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic foregut	FBex0018694	embryonic foregut	FBbt:00005606	embryonic stage 15	FBdv:00005332	embryonic stage 17	FBdv:00005335
100138	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic epidermis	FBex0018695	embryonic epidermis	FBbt:00005397	embryonic stage 17	FBdv:00005335	embryonic stage 17	FBdv:00005335
100139	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic hindgut	FBex0018696	embryonic hindgut	FBbt:00005630	embryonic stage 13	FBdv:00005328	embryonic stage 17	FBdv:00005335
100140	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 16	not specified	embryonic midgut constriction	FBex0018697	embryonic midgut constriction	FBbt:00000457	embryonic stage 15	FBdv:00005332	embryonic stage 16	FBdv:00005334
100141	slbo	FBgn0005638	FBrf0056125	Rorth and Montell, 1992, Genes Dev. 6: 2299--2311	1	in situ	polypeptide	embryonic stage 17	not specified	embryonic/larval posterior spiracle	FBex0018698	embryonic/larval posterior spiracle	FBbt:00000424	embryonic stage 13	FBdv:00005328	embryonic stage 17	FBdv:00005335
100142	sim	FBgn0004666	FBrf0057526	Kasai et al., 1992, Proc. Natl. Acad. Sci. U.S.A. 89: 3414--3418	1	in situ	RNA	embryonic stage 5	not specified	mesectoderm anlage	FBex0018699	mesectoderm anlage	FBbt:00000109	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100143	sna	FBgn0003448	FBrf0057526	Kasai et al., 1992, Proc. Natl. Acad. Sci. U.S.A. 89: 3414--3418	1	in situ	RNA	embryonic stage 5	not specified	mesoderm anlage	FBex0001793	mesoderm anlage	FBbt:00000104	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100166	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic cycle 12	not specified	organism	FBex0018722	organism	FBbt:00000001	embryonic cycle 12	FBdv:00005308	embryonic cycle 12	FBdv:00005308
100167	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 6	not specified	mitotic domain 10	FBex0018723	organism	FBbt:00000001	embryonic stage 6	FBdv:00005318	embryonic stage 6	FBdv:00005318
100168	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 8	not specified	mitotic domain 14	FBex0018724	organism	FBbt:00000001	embryonic stage 8	FBdv:00005322	embryonic stage 8	FBdv:00005322
100169	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 9	not specified	ventral neurectoderm intermediate zone 1	FBex0018725	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 9	FBdv:00005323
100170	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 9	not specified	mitotic domain N	FBex0018726	mitotic domain N	FBbt:00000089	embryonic stage 9	FBdv:00005323	embryonic stage 9	FBdv:00005323
100171	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 9	not specified	embryonic head	FBex0018727	embryonic head	FBbt:00000155	embryonic stage 9	FBdv:00005323	embryonic stage 11	FBdv:00005325
100172	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 9	not specified	embryonic epidermis	FBex0018728	embryonic epidermis	FBbt:00005397	embryonic stage 9	FBdv:00005323	embryonic stage 9	FBdv:00005323
100173	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 10	not specified	mitotic domain M	FBex0018729	mitotic domain M	FBbt:00000088	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100174	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 10	not specified	embryonic ventral epidermis	FBex0018730	embryonic ventral epidermis	FBbt:00005747	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100175	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 11	not specified	ventral neurectoderm	FBex0018731	ventral neurectoderm	FBbt:00001061	embryonic stage 10	FBdv:00005324	embryonic stage 11	FBdv:00005325
100176	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 10	not specified	embryonic neuroblast	FBex0006216	embryonic neuroblast	FBbt:00001332	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100177	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 11	not specified	tracheal primordium	FBex0003782	tracheal primordium	FBbt:00005037	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100178	stg	FBgn0003525	FBrf0108420	Lehman et al., 1999, Development 126(9): 1793--1803	1	in situ	RNA	embryonic stage 12	not specified	embryonic epidermis	FBex0018732	embryonic epidermis	FBbt:00005397	embryonic stage 12	FBdv:00005327	embryonic stage 12	FBdv:00005327
100240	Ance	FBgn0012037	FBrf0092672	Rusch and Levine, 1997, Development 124(2): 303--311	1	in situ	RNA	embryonic stage 5	not specified	amnioserosa anlage in statu nascendi	FBex0017638	amnioserosa anlage in statu nascendi	FBbt:00005422	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100411	ths	FBgn0033652	FBrf0174583	Markstein et al., 2004, Development 131(10): 2387--2394	1	in situ	RNA	embryonic stage 5	not specified	neurogenic region	FBex0018804	neurogenic region	FBbt:00001057	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100413	brk	FBgn0024250	FBrf0174583	Markstein et al., 2004, Development 131(10): 2387--2394	1	in situ	RNA	embryonic stage 5	not specified	ventral neurectoderm	FBex0002598	ventral neurectoderm	FBbt:00001061	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100415	Phm	FBgn0283509	FBrf0174583	Markstein et al., 2004, Development 131(10): 2387--2394	1	in situ	RNA	embryonic stage 5	not specified	mesoderm anlage	FBex0001793	mesoderm anlage	FBbt:00000104	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100417	Adk3	FBgn0026602	FBrf0174583	Markstein et al., 2004, Development 131(10): 2387--2394	1	in situ	RNA	embryonic stage 5	not specified	mesoderm anlage	FBex0001793	mesoderm anlage	FBbt:00000104	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100430	Ance	FBgn0012037	FBrf0180060	Wharton et al., 2004, Curr. Biol. 14(17): 1550--1558	1	in situ	RNA	embryonic stage 6	not specified	amnioserosa anlage	FBex0018560	amnioserosa anlage	FBbt:00017017	embryonic stage 6	FBdv:00005318	embryonic stage 6	FBdv:00005318
100431	tup	FBgn0003896	FBrf0180060	Wharton et al., 2004, Curr. Biol. 14(17): 1550--1558	1	in situ	RNA	embryonic stage 6	not specified	amnioserosa anlage	FBex0018560	amnioserosa anlage	FBbt:00017017	embryonic stage 6	FBdv:00005318	embryonic stage 6	FBdv:00005318
100432	tup	FBgn0003896	FBrf0180060	Wharton et al., 2004, Curr. Biol. 14(17): 1550--1558	1	in situ	RNA	embryonic stage 6	not specified	dorsal ectoderm	FBex0018811	dorsal ectoderm	FBbt:00000112	embryonic stage 6	FBdv:00005318	embryonic stage 6	FBdv:00005318
100443	betaTub56D	FBgn0284243	FBrf0180120	Inbal et al., 2004, Dev. Cell 7(2): 241--250	1	in situ	RNA	embryonic stage	not specified	lch5 ligament attachment cell	FBex0018821	lch5 ligament attachment cell	FBbt:00006021	embryonic stage	FBdv:00005289	embryonic stage	FBdv:00005289
100444	betaTub56D	FBgn0284243	FBrf0180120	Inbal et al., 2004, Dev. Cell 7(2): 241--250	1	in situ	RNA	embryonic stage 16	not specified	scolopidial ligament cell	FBex0018822	scolopidial ligament cell	FBbt:00005221	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100445	betaTub56D	FBgn0284243	FBrf0180120	Inbal et al., 2004, Dev. Cell 7(2): 241--250	1	in situ	RNA	embryonic stage 16	not specified	lch5 cap attachment cell	FBex0018823	lch5 cap attachment cell	FBbt:00006020	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100446	betaTub56D	FBgn0284243	FBrf0180120	Inbal et al., 2004, Dev. Cell 7(2): 241--250	1	in situ	RNA	embryonic stage 16	not specified	chordotonal neuron	FBex0018824	chordotonal neuron	FBbt:00005222	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100450	bap	FBgn0004862	FBrf0183922	Lee and Frasch, 2005, Development 132(6): 1429--1442	1	in situ	RNA	embryonic stage 10	not specified	hindgut visceral muscle primordium	FBex0012573	hindgut visceral muscle primordium	FBbt:00005499	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100451	bap	FBgn0004862	FBrf0183922	Lee and Frasch, 2005, Development 132(6): 1429--1442	1	in situ	RNA	embryonic stage 10	not specified	foregut visceral muscle primordium	FBex0018828	foregut visceral muscle primordium	FBbt:00005500	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100452	bap	FBgn0004862	FBrf0183922	Lee and Frasch, 2005, Development 132(6): 1429--1442	1	in situ	RNA	embryonic stage 10	not specified	visceral trunk mesoderm	FBex0009038	visceral trunk mesoderm	FBbt:00000130	embryonic stage 10	FBdv:00005324	embryonic stage 10	FBdv:00005324
100475	Ndg	FBgn0026403	FBrf0193955	Philippakis et al., 2006, PLoS Comput. Biol. 2(5): e53	1	in situ	RNA	embryonic stage 11	not specified	muscle founder cell	FBex0018848	muscle founder cell	FBbt:00005084	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100476	mib2	FBgn0086442	FBrf0193955	Philippakis et al., 2006, PLoS Comput. Biol. 2(5): e53	1	in situ	RNA	embryonic stage 11	not specified	muscle founder cell	FBex0018848	muscle founder cell	FBbt:00005084	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100477	mib2	FBgn0086442	FBrf0193955	Philippakis et al., 2006, PLoS Comput. Biol. 2(5): e53	1	in situ	RNA	embryonic stage 11	not specified	visceral trunk mesoderm	FBex0003910	visceral trunk mesoderm	FBbt:00000130	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100478	phyl	FBgn0013725	FBrf0193955	Philippakis et al., 2006, PLoS Comput. Biol. 2(5): e53	1	in situ	RNA	embryonic stage 11	not specified	muscle founder cell	FBex0018848	muscle founder cell	FBbt:00005084	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100479	lbl	FBgn0008651	FBrf0193955	Philippakis et al., 2006, PLoS Comput. Biol. 2(5): e53	1	in situ	RNA	embryonic stage 11	not specified	muscle founder cell	FBex0018848	muscle founder cell	FBbt:00005084	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100577	ftz	FBgn0001077	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 5	not specified	organism	FBex0000403	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100578	gt	FBgn0001150	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 5	not specified	organism	FBex0003347	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100579	nub	FBgn0085424	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 5	not specified	organism	FBex0012934	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100580	odd	FBgn0002985	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 5	not specified	organism	FBex0000403	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100581	pdm2	FBgn0004394	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 12	not specified	embryonic ganglion mother cell	FBex0018886	embryonic ganglion mother cell	FBbt:00001433	embryonic stage 10	FBdv:00005324	embryonic stage 12	FBdv:00005327
100582	pdm2	FBgn0004394	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 12	not specified	embryonic neuroblast	FBex0018887	embryonic neuroblast	FBbt:00001332	embryonic stage 10	FBdv:00005324	embryonic stage 12	FBdv:00005327
100583	sqz	FBgn0010768	FBrf0180323	Berman et al., 2004, Genome Biol. 5(9): R61	1	in situ	RNA	embryonic stage 11	not specified	ventral nerve cord primordium	FBex0018888	ventral nerve cord primordium	FBbt:00005554	embryonic stage 10	FBdv:00005324	embryonic stage 11	FBdv:00005325
100610	rgn	FBgn0261258	FBrf0205073	McClure et al., 2008, Dev. Biol. 319(1): 68--77	1	in situ	RNA	third instar larval stage	not specified	prothoracic leg disc	FBex0018910	prothoracic leg disc	FBbt:00001781	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100613	Mmp1	FBgn0035049	FBrf0205073	McClure et al., 2008, Dev. Biol. 319(1): 68--77	1	in situ	RNA	third instar larval stage	not specified	prothoracic leg disc	FBex0018910	prothoracic leg disc	FBbt:00001781	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100618	Bx	FBgn0265598	FBrf0205286	Asmar et al., 2008, Dev. Biol. 316(2): 487--497	1	in situ	RNA	third instar larval stage	not specified	wing disc	FBex0000514	wing disc	FBbt:00001778	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100619	Bx	FBgn0265598	FBrf0205286	Asmar et al., 2008, Dev. Biol. 316(2): 487--497	1	in situ	RNA	third instar larval stage	not specified	mesonotum	FBex0018913	mesonotum	FBbt:00004580	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100620	Bx	FBgn0265598	FBrf0205286	Asmar et al., 2008, Dev. Biol. 316(2): 487--497	1	in situ	RNA	third instar larval stage	not specified	wing pouch	FBex0012693	wing pouch	FBbt:00006029	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100621	Bx	FBgn0265598	FBrf0205286	Asmar et al., 2008, Dev. Biol. 316(2): 487--497	1	in situ	RNA	third instar larval stage	not specified	wing hinge primordium	FBex0015601	wing hinge primordium	FBbt:00006033	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100622	Hipk	FBgn0035142	FBrf0206915	Lee et al., 2009, Dev. Biol. 325(1): 263--272	1	in situ	RNA	second instar larval stage	not specified	eye disc	FBex0018914	eye disc	FBbt:00001768	second instar larval stage	FBdv:00005338	second instar larval stage	FBdv:00005338
100623	Hipk	FBgn0035142	FBrf0206915	Lee et al., 2009, Dev. Biol. 325(1): 263--272	1	in situ	RNA	third instar larval stage	not specified	eye disc	FBex0003163	eye disc	FBbt:00001768	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100624	Hipk	FBgn0035142	FBrf0206915	Lee et al., 2009, Dev. Biol. 325(1): 263--272	1	in situ	RNA	third instar larval stage	not specified	eye disc anterior to the morphogenetic furrow	FBex0015887	eye disc anterior to the morphogenetic furrow	FBbt:00007142	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100643	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 11	not specified	circular trunk visceral muscle primordium	FBex0018929	circular trunk visceral muscle primordium	FBbt:00017015	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100644	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 14	not specified	foregut primordium	FBex0018930	foregut primordium	FBbt:00005535	embryonic stage 11	FBdv:00005325	embryonic stage 14	FBdv:00005330
100645	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 11	not specified	hindgut proper primordium	FBex0016044	hindgut proper primordium	FBbt:00000441	embryonic stage 11	FBdv:00005325	embryonic stage 11	FBdv:00005325
100646	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 14	not specified	larval longitudinal connective	FBex0018931	larval longitudinal connective	FBbt:00001103	embryonic stage 11	FBdv:00005325	embryonic stage 14	FBdv:00005330
100647	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 14	not specified	somatic trunk mesoderm	FBex0018932	somatic trunk mesoderm	FBbt:00000129	embryonic stage 11	FBdv:00005325	embryonic stage 14	FBdv:00005330
100648	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 12	not specified	somatic trunk mesoderm	FBex0018933	somatic trunk mesoderm	FBbt:00000129	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
100649	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 12	not specified	ventral nerve cord primordium	FBex0018934	ventral nerve cord primordium	FBbt:00005554	embryonic stage 12	FBdv:00005327	embryonic stage 12	FBdv:00005327
100650	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 12	not specified	embryonic labial sensory complex	FBex0018935	embryonic labial sensory complex	FBbt:00005619	embryonic stage 12	FBdv:00005327	embryonic stage 12	FBdv:00005327
100651	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 12	not specified	larval maxillary segment sense organ	FBex0018936	larval maxillary segment sense organ	FBbt:00002689	embryonic stage 12	FBdv:00005327	embryonic stage 12	FBdv:00005327
100652	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 12	not specified	larval mandibular segment sense organ	FBex0018937	larval mandibular segment sense organ	FBbt:00002685	embryonic stage 12	FBdv:00005327	embryonic stage 12	FBdv:00005327
100653	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 16	not specified	embryonic thoracic neuromere	FBex0018938	embryonic thoracic neuromere	FBbt:00001088	embryonic stage 14	FBdv:00005330	embryonic stage 16	FBdv:00005334
100654	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 14	not specified	embryonic abdominal neuromere	FBex0018939	embryonic abdominal neuromere	FBbt:00001092	embryonic stage 14	FBdv:00005330	embryonic stage 14	FBdv:00005330
100655	Con	FBgn0005775	FBrf0055843	Gould and White, 1992, Development 116(4): 1163--1174	1	in situ	RNA	embryonic stage 14	not specified	embryonic brain	FBex0003755	embryonic brain	FBbt:00001060	embryonic stage 14	FBdv:00005330	embryonic stage 14	FBdv:00005330
100664	mir-124	FBgn0262398	FBrf0206327	Xu et al., 2008, J. Neurosci. 28(46): 11883--11889	1	in situ	RNA	embryonic stage 13	not specified	embryonic brain	FBex0006864	embryonic brain	FBbt:00001060	embryonic stage 13	FBdv:00005328	embryonic stage 13	FBdv:00005328
100665	mir-124	FBgn0262398	FBrf0206327	Xu et al., 2008, J. Neurosci. 28(46): 11883--11889	1	in situ	RNA	embryonic stage 13	not specified	larval ventral nerve cord	FBex0000797	larval ventral nerve cord	FBbt:00001102	embryonic stage 13	FBdv:00005328	embryonic stage 13	FBdv:00005328
100675	htt	FBgn0027655	FBrf0208014	Zhang et al., 2009, Dis. Model Mech. 2(5-6): 247--266	1	in situ	RNA	embryonic stage 15	not specified	organism	FBex0018950	organism	FBbt:00000001	embryonic stage 15	FBdv:00005332	embryonic stage 15	FBdv:00005332
100676	htt	FBgn0027655	FBrf0208014	Zhang et al., 2009, Dis. Model Mech. 2(5-6): 247--266	1	in situ	RNA	third instar larval stage	not specified	larval central nervous system	FBex0018951	larval central nervous system	FBbt:00001919	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100677	htt	FBgn0027655	FBrf0208014	Zhang et al., 2009, Dis. Model Mech. 2(5-6): 247--266	1	in situ	RNA	third instar larval stage	not specified	imaginal disc	FBex0000759	imaginal disc	FBbt:00001761	third instar larval stage	FBdv:00005339	third instar larval stage	FBdv:00005339
100680	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 4	not specified	organism	FBex0000391	organism	FBbt:00000001	embryonic stage 1	FBdv:00005291	embryonic stage 4	FBdv:00005306
100681	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 5	not specified	yolk	FBex0016059	yolk	FBbt:00000035	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100682	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 5	not specified	yolk nucleus	FBex0018953	yolk nucleus	FBbt:00000057	embryonic stage 5	FBdv:00005311	embryonic stage 5	FBdv:00005311
100683	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 8	not specified	organism	FBex0018954	organism	FBbt:00000001	embryonic stage 6	FBdv:00005318	embryonic stage 8	FBdv:00005322
100684	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 8	not specified	mesoderm	FBex0018955	mesoderm	FBbt:00000126	embryonic stage 6	FBdv:00005318	embryonic stage 8	FBdv:00005322
100685	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	late extended germ band stage	not specified	organism	FBex0018956	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 13	FBdv:00005328
100686	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	late extended germ band stage	not specified	amnioserosa	FBex0018957	amnioserosa	FBbt:00000095	embryonic stage 9	FBdv:00005323	embryonic stage 13	FBdv:00005328
100687	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 13	not specified	larval ventral nerve cord	FBex0008810	larval ventral nerve cord	FBbt:00001102	embryonic stage 13	FBdv:00005328	embryonic stage 13	FBdv:00005328
100688	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 13	not specified	ectoderm	FBex0018958	ectoderm	FBbt:00000111	embryonic stage 13	FBdv:00005328	embryonic stage 13	FBdv:00005328
100689	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval salivary gland	FBex0016529	embryonic/larval salivary gland	FBbt:00001878	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100690	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval Malpighian tubule	FBex0018959	embryonic/larval Malpighian tubule	FBbt:00001896	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100691	Aven	FBgn0030410	FBrf0213442	Zou et al., 2011, Cell Cycle 10(6): 989--998	1	in situ	RNA	embryonic stage 16	not specified	larval tracheal system	FBex0003183	larval tracheal system	FBbt:00000185	embryonic stage 16	FBdv:00005334	embryonic stage 16	FBdv:00005334
100840	prd	FBgn0003145	FBrf0108247	Nasiadka and Krause, 1999, Development 126(7): 1515--1526	1	in situ	RNA	embryonic stage 8	not specified	organism	FBex0018984	organism	FBbt:00000001	embryonic stage 6	FBdv:00005318	embryonic stage 8	FBdv:00005322
100841	eve	FBgn0000606	FBrf0108247	Nasiadka and Krause, 1999, Development 126(7): 1515--1526	1	in situ	RNA	embryonic stage 7	not specified	organism	FBex0018985	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 7	FBdv:00005319
100842	gsb	FBgn0001148	FBrf0108247	Nasiadka and Krause, 1999, Development 126(7): 1515--1526	1	in situ	RNA	embryonic stage 7	not specified	organism	FBex0018985	organism	FBbt:00000001	embryonic stage 5	FBdv:00005311	embryonic stage 7	FBdv:00005319
