speciesId
9606
10090
7955
7227
6239
9598
9597
9593
9544
10116
9913
9823
9796
9986
9615
9685
10141
13616
9258
9031
28377
8364
7237
7240
7740
7897
7918
7994
8010
8049
8090
8355
9103
9483
9531
9541
9545
9555
9925
9940
10181
30608
32507
52904
60711
69293
