libraryId	experimentId	speciesId
SRX1464428	SRP067001	9913
SRX1464429	SRP067001	9913
SRX1464430	SRP067001	9913
SRX1464431	SRP067001	9913
SRX1464432	SRP067001	9913
SRX1464433	SRP067001	9913
SRX1464434	SRP067001	9913
SRX1464435	SRP067001	9913
SRX1464436	SRP067001	9913
SRX1464437	SRP067001	9913
SRX1464438	SRP067001	9913
SRX1464439	SRP067001	9913
SRX1464440	SRP067001	9913
SRX1464441	SRP067001	9913
SRX1464442	SRP067001	9913
SRX1464443	SRP067001	9913
SRX1464444	SRP067001	9913
SRX1464445	SRP067001	9913
SRX1464446	SRP067001	9913
SRX1464447	SRP067001	9913
SRX1464448	SRP067001	9913
SRX1464449	SRP067001	9913
SRX1464450	SRP067001	9913
SRX1464451	SRP067001	9913
SRX1464452	SRP067001	9913
SRX1464453	SRP067001	9913
SRX1464454	SRP067001	9913
SRX1464455	SRP067001	9913
SRX1464456	SRP067001	9913
SRX1464457	SRP067001	9913
SRX1464458	SRP067001	9913
SRX1464459	SRP067001	9913
SRX1464460	SRP067001	9913
SRX1464461	SRP067001	9913
SRX1464462	SRP067001	9913
SRX1464463	SRP067001	9913
SRX1464464	SRP067001	9913
SRX1464465	SRP067001	9913
SRX1464466	SRP067001	9913
SRX1464467	SRP067001	9913
SRX1464468	SRP067001	9913
SRX1464469	SRP067001	9913
SRX1464470	SRP067001	9913
SRX1464471	SRP067001	9913
SRX1464472	SRP067001	9913
SRX1464473	SRP067001	9913
SRX1464474	SRP067001	9913
SRX1464475	SRP067001	9913
SRX1464476	SRP067001	9913
SRX1464477	SRP067001	9913
SRX1464478	SRP067001	9913
SRX1464479	SRP067001	9913
SRX1464480	SRP067001	9913
SRX1464481	SRP067001	9913
SRX1464482	SRP067001	9913
SRX1464483	SRP067001	9913
SRX1464484	SRP067001	9913
SRX1464485	SRP067001	9913
SRX1464486	SRP067001	9913
SRX1464487	SRP067001	9913
SRX1464488	SRP067001	9913
SRX1464489	SRP067001	9913
SRX1464490	SRP067001	9913
SRX1464491	SRP067001	9913
SRX1464492	SRP067001	9913
SRX1464493	SRP067001	9913
SRX1464495	SRP067001	9913
SRX1464496	SRP067001	9913
SRX1464497	SRP067001	9913
SRX1464498	SRP067001	9913
SRX1464499	SRP067001	9913
SRX1464500	SRP067001	9913
SRX1464501	SRP067001	9913
SRX1464502	SRP067001	9913
SRX1464503	SRP067001	9913
SRX1464504	SRP067001	9913
SRX1464505	SRP067001	9913
SRX1464506	SRP067001	9913
SRX1464507	SRP067001	9913
SRX1464508	SRP067001	9913
SRX1464509	SRP067001	9913
SRX1464510	SRP067001	9913
SRX1464511	SRP067001	9913
SRX1464512	SRP067001	9913
SRX1464513	SRP067001	9913
SRX1464514	SRP067001	9913
SRX1464515	SRP067001	9913
SRX1464516	SRP067001	9913
SRX1464517	SRP067001	9913
SRX1464518	SRP067001	9913
SRX1464519	SRP067001	9913
SRX1464520	SRP067001	9913
SRX1464521	SRP067001	9913
SRX1464522	SRP067001	9913
SRX1464523	SRP067001	9913
SRX1464524	SRP067001	9913
SRX1464525	SRP067001	9913
SRX1464526	SRP067001	9913
SRX1464527	SRP067001	9913
SRX1464528	SRP067001	9913
SRX1464529	SRP067001	9913
SRX1464530	SRP067001	9913
SRX1464531	SRP067001	9913
SRX1464532	SRP067001	9913
SRX1464533	SRP067001	9913
SRX1464534	SRP067001	9913
SRX1464535	SRP067001	9913
SRX1464536	SRP067001	9913
SRX1464537	SRP067001	9913
SRX1464538	SRP067001	9913
SRX1464539	SRP067001	9913
SRX1464540	SRP067001	9913
SRX1464541	SRP067001	9913
SRX1464542	SRP067001	9913
SRX1464543	SRP067001	9913
SRX1464544	SRP067001	9913
SRX1464545	SRP067001	9913
SRX1464546	SRP067001	9913
SRX1464547	SRP067001	9913
SRX1464548	SRP067001	9913
SRX1464549	SRP067001	9913
SRX1464550	SRP067001	9913
SRX1464551	SRP067001	9913
SRX1464552	SRP067001	9913
SRX1464553	SRP067001	9913
SRX1464554	SRP067001	9913
SRX1464555	SRP067001	9913
SRX1464556	SRP067001	9913
SRX1464557	SRP067001	9913
SRX1464558	SRP067001	9913
SRX1464559	SRP067001	9913
SRX1464560	SRP067001	9913
SRX1464561	SRP067001	9913
SRX1464562	SRP067001	9913
SRX1464563	SRP067001	9913
SRX1464564	SRP067001	9913
SRX1464565	SRP067001	9913
SRX1464566	SRP067001	9913
SRX1464567	SRP067001	9913
