libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX3440672	38072567	35	76	36611247	927832	96.2	2.4	37267	Tue Feb  6 18:50:29 2024	0.46.0
ERX3444739	9720820	35	76	999964	257266	10.3	2.6	37267	Tue Feb  6 18:54:18 2024	0.46.0
ERX3444740	10631004	35	76	1138996	283232	10.7	2.7	37267	Tue Feb  6 18:55:12 2024	0.46.0
ERX3444741	8298573	35	76	3022124	143587	36.4	1.7	37267	Tue Feb  6 18:56:10 2024	0.46.0
ERX3444751	11887377	35	76	4022376	428499	33.8	3.6	37267	Tue Feb  6 18:56:54 2024	0.46.0
ERX3444753	12601253	35	76	6035166	235021	47.9	1.9	37267	Tue Feb  6 18:58:45 2024	0.46.0
ERX3444775	14106707	35	76	5949087	237008	42.2	1.7	37267	Tue Feb  6 18:59:47 2024	0.46.0
ERX3444809	9250128	35	76	4249403	122685	45.9	1.3	37267	Tue Feb  6 19:00:51 2024	0.46.0
ERX3444810	9869552	35	76	4509956	140425	45.7	1.4	37267	Tue Feb  6 16:56:34 2024	0.46.0
ERX3444811	9383115	35	76	4441402	142118	47.3	1.5	37267	Tue Feb  6 16:57:31 2024	0.46.0
ERX3448128	9524265	35	76	4413521	153046	46.3	1.6	37267	Tue Feb  6 16:58:20 2024	0.46.0
ERX3448129	9963806	35	76	5250674	187115	52.7	1.9	37267	Tue Feb  6 16:59:11 2024	0.46.0
ERX3448130	9339823	35	76	4506941	143226	48.3	1.5	37267	Tue Feb  6 17:00:03 2024	0.46.0
ERX3449527	9825976	35	76	5646071	274606	57.5	2.8	37267	Tue Feb  6 17:01:55 2024	0.46.0
ERX3449528	10662453	35	76	5786617	252212	54.3	2.4	37267	Tue Feb  6 17:02:45 2024	0.46.0
ERX3449529	7413817	35	76	2753882	114912	37.1	1.5	37267	Tue Feb  6 17:03:36 2024	0.46.0
ERX3449530	9444475	35	76	4719160	258655	50	2.7	37267	Tue Feb  6 17:04:21 2024	0.46.0
ERX3449531	8691774	35	76	4146901	196751	47.7	2.3	37267	Tue Feb  6 17:05:08 2024	0.46.0
ERX3449532	10087039	35	76	5061456	244761	50.2	2.4	37267	Tue Feb  6 17:05:53 2024	0.46.0
ERX3449533	12888743	35	76	5221234	255700	40.5	2	37267	Tue Feb  6 17:06:46 2024	0.46.0
ERX3449534	14379700	35	76	6113743	322174	42.5	2.2	37267	Tue Feb  6 17:07:46 2024	0.46.0
ERX3449535	14469282	35	76	6266090	344980	43.3	2.4	37267	Tue Feb  6 17:08:53 2024	0.46.0
SRX1482931	10279218	76	76	2455655	734734	23.9	7.1	37267	Tue Feb  6 16:57:15 2024	0.46.0
SRX1482932	1501735	76	76	1101549	205666	73.4	13.7	37267	Tue Feb  6 16:58:12 2024	0.46.0
SRX1482933	2403157	76	76	1444348	258408	60.1	10.8	37267	Tue Feb  6 16:58:31 2024	0.46.0
SRX1482934	5580037	76	76	4849312	656549	86.9	11.8	37267	Tue Feb  6 16:58:55 2024	0.46.0
SRX1482935	3741920	76	76	2265891	514976	60.6	13.8	37267	Tue Feb  6 16:59:29 2024	0.46.0
SRX1482936	2269091	76	76	1792352	481565	79	21.2	37267	Tue Feb  6 16:59:56 2024	0.46.0
SRX1482937	4894264	76	76	3767157	739871	77	15.1	37267	Tue Feb  6 17:00:21 2024	0.46.0
SRX1482938	5422254	76	76	3834490	170523	70.7	3.1	37267	Tue Feb  6 17:00:54 2024	0.46.0
SRX1482939	5218276	76	76	4397409	313783	84.3	6	37267	Tue Feb  6 17:01:28 2024	0.46.0
SRX1482940	3416274	76	76	2777020	419157	81.3	12.3	37267	Tue Feb  6 17:02:02 2024	0.46.0
SRX1482941	6949314	76	76	6033998	246864	86.8	3.6	37267	Tue Feb  6 17:02:27 2024	0.46.0
SRX1482942	3176596	76	76	2283945	436763	71.9	13.7	37267	Tue Feb  6 17:03:05 2024	0.46.0
SRX1482943	4101517	76	76	3374502	1073870	82.3	26.2	37267	Tue Feb  6 17:03:31 2024	0.46.0
SRX1482944	5124620	76	76	4693839	263551	91.6	5.1	37267	Tue Feb  6 17:04:00 2024	0.46.0
SRX1482945	5107155	76	76	4525347	256845	88.6	5	37267	Tue Feb  6 17:04:32 2024	0.46.0
SRX1482946	4868593	76	76	4105237	177347	84.3	3.6	37267	Tue Feb  6 16:57:24 2024	0.46.0
SRX1482947	6422765	76	76	5804496	279488	90.4	4.4	37267	Tue Feb  6 16:57:56 2024	0.46.0
