libraryId	min_read_length	max_read_length	average_read_length
SRX265355	50.0	50.0	50.0
SRX265356	50.0	50.0	50.0
SRX265360	50.0	50.0	50.0
SRX265361	50.0	50.0	50.0
SRX265362	50.0	50.0	50.0
SRX265366	50.0	50.0	50.0
SRX265367	50.0	50.0	50.0
SRX265368	50.0	50.0	50.0
SRX265372	50.0	50.0	50.0
SRX265373	50.0	50.0	50.0
ERX2156389	100.0	100.0	100.0
ERX2156390	100.0	100.0	100.0
ERX2156391	100.0	100.0	100.0
ERX2156955	125.0	125.0	125.0
ERX2156956	125.0	125.0	125.0
ERX2156957	125.0	125.0	125.0
ERX2159569	100.0	100.0	100.0
ERX2159570	100.0	100.0	100.0
ERX2159571	100.0	100.0	100.0
ERX2160326	56.0	125.0	119.7997
ERX2160327	56.0	125.0	119.5908
ERX2160328	56.0	125.0	119.6182
ERX2160329	125.0	125.0	125.0
ERX2160330	125.0	125.0	125.0
ERX2160331	100.0	100.0	100.0
ERX2160332	100.0	100.0	100.0
ERX2160333	100.0	100.0	100.0
ERX2160334	100.0	100.0	100.0
ERX2160988	100.0	100.0	100.0
ERX2160989	100.0	100.0	100.0
ERX2160990	100.0	100.0	100.0
ERX2160991	100.0	100.0	100.0
ERX2160992	100.0	100.0	100.0
ERX2160993	100.0	100.0	100.0
ERX2162332	125.0	125.0	125.0
ERX2162333	125.0	125.0	125.0
ERX2162334	125.0	125.0	125.0
ERX2162336	125.0	125.0	125.0
ERX2162337	125.0	125.0	125.0
ERX2162338	125.0	125.0	125.0
ERX2162339	125.0	125.0	125.0
ERX2162340	100.0	100.0	100.0
ERX2162341	100.0	100.0	100.0
ERX2162342	10000.0	0.0	
ERX2162343	125.0	125.0	125.0
ERX2162344	100.0	100.0	100.0
ERX2162997	125.0	125.0	125.0
ERX2162998	125.0	125.0	125.0
ERX2162999	125.0	125.0	125.0
ERX2163000	125.0	125.0	125.0
ERX2163001	125.0	125.0	125.0
ERX2163002	125.0	125.0	125.0
ERX2163609	125.0	125.0	125.0
ERX2163610	125.0	125.0	125.0
ERX2163611	125.0	125.0	125.0
ERX2164584	125.0	125.0	125.0
ERX2164585	125.0	125.0	125.0
ERX2164586	125.0	125.0	125.0
ERX2164587	125.0	125.0	125.0
ERX2164588	125.0	125.0	125.0
ERX2164589	125.0	125.0	125.0
ERX2164664	125.0	125.0	125.0
ERX2164665	125.0	125.0	125.0
ERX2164666	125.0	125.0	125.0
ERX2164667	125.0	125.0	125.0
ERX2164668	125.0	125.0	125.0
ERX2164669	125.0	125.0	125.0
ERX2164670	125.0	125.0	125.0
ERX2164671	125.0	125.0	125.0
ERX2164672	125.0	125.0	125.0
ERX2169481	1.0	50.0	16.99165
ERX2169482	1.0	50.0	18.74741
ERX2169483	1.0	50.0	19.69081
ERX2169484	17.0	50.0	28.95973
