libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX1226763	3288464	125	125	2524529	951736	76.8	28.9	339952	Thu Jul 10 17:07:54 2025	0.51.0
ERX1226764	2388673	125	125	1859668	699777	77.9	29.3	339952	Thu Jul 10 17:10:22 2025	0.51.0
ERX1226765	1862957	125	125	1527374	518964	82	27.9	339952	Thu Jul 10 17:12:45 2025	0.51.0
ERX1226766	1427196	125	125	1085018	422847	76	29.6	339952	Thu Jul 10 17:14:42 2025	0.51.0
ERX1226767	2076337	125	125	1755936	725186	84.6	34.9	339952	Thu Jul 10 17:16:23 2025	0.51.0
ERX1226768	2352619	125	125	2050444	817150	87.2	34.7	339952	Thu Jul 10 17:18:21 2025	0.51.0
ERX1226769	3567880	125	125	3001462	1221281	84.1	34.2	339952	Thu Jul 10 17:20:22 2025	0.51.0
ERX1226770	5457461	125	125	4409005	1866819	80.8	34.2	339952	Thu Jul 10 17:23:09 2025	0.51.0
ERX1226771	4870914	125	125	3534303	1507782	72.6	31	339952	Thu Jul 10 17:26:23 2025	0.51.0
ERX1226772	1051792	125	125	608538	254878	57.9	24.2	339952	Thu Jul 10 17:29:38 2025	0.51.0
ERX1226773	3020057	125	125	2313182	994514	76.6	32.9	339952	Thu Jul 10 17:31:07 2025	0.51.0
ERX1226774	2296516	125	125	1818443	691574	79.2	30.1	339952	Thu Jul 10 17:33:38 2025	0.51.0
ERX1226775	2958032	125	125	2503672	1011041	84.6	34.2	339952	Thu Jul 10 17:35:48 2025	0.51.0
ERX1226776	3607090	125	125	3003791	1256067	83.3	34.8	339952	Thu Jul 10 17:38:10 2025	0.51.0
ERX1226777	3646293	125	125	3022040	1126412	82.9	30.9	339952	Thu Jul 10 17:40:41 2025	0.51.0
ERX1226778	2460269	125	125	1785320	676409	72.6	27.5	339952	Thu Jul 10 17:43:11 2025	0.51.0
ERX1226779	1986061	125	125	1543282	537202	77.7	27	339952	Thu Jul 10 17:45:15 2025	0.51.0
ERX1226780	1445752	125	125	1054063	412374	72.9	28.5	339952	Thu Jul 10 17:47:10 2025	0.51.0
ERX1226781	2244289	125	125	1885937	746285	84	33.3	339952	Thu Jul 10 17:48:54 2025	0.51.0
ERX1226782	1621175	125	125	1316676	507628	81.2	31.3	339952	Thu Jul 10 17:51:04 2025	0.51.0
ERX1226783	3054996	125	125	2507887	1097535	82.1	35.9	339952	Thu Jul 10 17:52:54 2025	0.51.0
ERX1226784	4777044	125	125	3878007	1817277	81.2	38	339952	Thu Jul 10 17:55:15 2025	0.51.0
ERX1226785	4830029	125	125	3680725	1409603	76.2	29.2	339952	Thu Jul 10 17:58:09 2025	0.51.0
ERX1226786	2578019	125	125	2065026	775773	80.1	30.1	339952	Thu Jul 10 18:01:13 2025	0.51.0
ERX1226787	1984252	125	125	1675351	688312	84.4	34.7	339952	Thu Jul 10 18:03:13 2025	0.51.0
ERX1226788	3092208	125	125	2663249	985583	86.1	31.9	339952	Thu Jul 10 18:05:07 2025	0.51.0
ERX1226789	4490646	125	125	3540159	1271121	78.8	28.3	339952	Thu Jul 10 18:07:30 2025	0.51.0
ERX1226790	3477810	125	125	2695736	953826	77.5	27.4	339952	Thu Jul 10 18:10:36 2025	0.51.0
ERX1226791	6677912	125	125	5521240	2348413	82.7	35.2	339952	Thu Jul 10 18:13:09 2025	0.51.0
ERX1226792	2528093	125	125	2152555	839056	85.1	33.2	339952	Thu Jul 10 18:16:28 2025	0.51.0
ERX1226793	3934233	125	125	2905509	1077743	73.9	27.4	339952	Thu Jul 10 18:18:43 2025	0.51.0
ERX1226794	3301348	125	125	2667732	1164292	80.8	35.3	339952	Wed Jul 16 11:36:16 2025	0.51.0
ERX1226795	3771851	125	125	3271538	1224676	86.7	32.5	339952	Thu Jul 10 16:26:19 2025	0.51.0
ERX1226796	1400325	125	125	990946	343329	70.8	24.5	339952	Thu Jul 10 16:29:03 2025	0.51.0
ERX1226797	3755036	125	125	3059074	1192352	81.5	31.8	339952	Thu Jul 10 16:30:48 2025	0.51.0
ERX1226798	2555349	125	125	1961145	808939	76.7	31.7	339952	Thu Jul 10 16:33:20 2025	0.51.0
ERX1226799	4966483	125	125	3969060	1609447	79.9	32.4	339952	Thu Jul 10 16:35:29 2025	0.51.0
ERX1226800	5895137	125	125	5011285	1884899	85	32	339952	Thu Jul 10 16:38:38 2025	0.51.0
ERX1226801	3196765	125	125	2697032	1097933	84.4	34.3	339952	Thu Jul 10 16:42:07 2025	0.51.0
ERX1226802	2228542	125	125	1964891	812526	88.2	36.5	339952	Thu Jul 10 16:44:47 2025	0.51.0
ERX1226803	3084770	125	125	2498669	1024728	81	33.2	339952	Thu Jul 10 16:46:41 2025	0.51.0
ERX1226804	4241441	125	125	3558453	1473677	83.9	34.7	339952	Thu Jul 10 16:49:03 2025	0.51.0
ERX1226805	6123593	125	125	4939071	2079082	80.7	34	339952	Thu Jul 10 16:51:44 2025	0.51.0
ERX1226806	4736332	125	125	4043384	1686180	85.4	35.6	339952	Thu Jul 10 16:54:59 2025	0.51.0
ERX1226807	6891733	125	125	5763920	2386766	83.6	34.6	339952	Thu Jul 10 16:57:45 2025	0.51.0
ERX1226808	2969528	125	125	2429391	1041971	81.8	35.1	339952	Thu Jul 10 17:01:16 2025	0.51.0
ERX1226809	2502304	125	125	1915047	796477	76.5	31.8	339952	Thu Jul 10 17:03:30 2025	0.51.0
ERX1226810	2049961	125	125	1666413	641783	81.3	31.3	339952	Thu Jul 10 17:05:49 2025	0.51.0
ERX1226811	1883215	125	125	1552351	622896	82.4	33.1	339952	Thu Jul 10 17:07:52 2025	0.51.0
ERX1226812	3520775	125	125	2628185	1085545	74.6	30.8	339952	Thu Jul 10 17:09:38 2025	0.51.0
ERX1226813	4122682	125	125	3505635	1466604	85	35.6	339952	Thu Jul 10 17:12:23 2025	0.51.0
ERX1226814	3736658	125	125	3180016	1235814	85.1	33.1	339952	Thu Jul 10 17:15:21 2025	0.51.0
ERX1226815	3561344	125	125	2538753	1049476	71.3	29.5	339952	Thu Jul 10 17:18:01 2025	0.51.0
ERX1226816	2617569	125	125	2213555	944381	84.6	36.1	339952	Thu Jul 10 17:20:45 2025	0.51.0
ERX1226817	1765780	125	125	1454642	624461	82.4	35.4	339952	Thu Jul 10 17:23:10 2025	0.51.0
ERX1226818	1524022	125	125	1250253	558563	82	36.7	339952	Thu Jul 10 17:24:59 2025	0.51.0
ERX1226819	1969392	125	125	1534190	603759	77.9	30.7	339952	Thu Jul 10 17:26:45 2025	0.51.0
ERX1226820	2405576	125	125	2006372	843499	83.4	35.1	339952	Thu Jul 10 17:28:52 2025	0.51.0
