libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX386077	0.342688	16.384837416026	12829	78298	38.7529887805775	8428	21748	0	0	61577	0.05	0.950908611869815	3.68566308063028	10090
SRX386078	0.381261	17.5164116580245	13715	78298	42.6430016553246	9274	21748	0	0	61577	0.05	1.08401080411548	3.83075025742538	10090
SRX386079	0.455579	14.7870954558226	11578	78298	34.4675372448041	7496	21748	0	0	61577	0.05	0.480835312090774	4.38845867443735	10090
SRX386080	0.514759	15.4180183401875	12072	78298	36.4263380540739	7922	21748	0	0	61577	0.05	0.61627034282074	3.8420083873208	10090
SRX386081	0.699527	16.9123093821043	13242	78298	40.8957145484642	8894	21748	0	0	61577	0.05	0.497501086797102	3.85617032800481	10090
SRX386082	0.367574	16.3452450892743	12798	78298	38.5046900864447	8374	21748	0	0	61577	0.05	0.770887913709574	3.38121901921024	10090
SRX386083	0.4623632	14.7692150501929	11564	78298	34.5962847158359	7524	21748	0	0	61577	0.05	0.511746642383497	4.51892986551153	10090
SRX386084	0.908039	15.792229686582	12365	78298	38.1092514254184	8288	21748	0	0	61577	0.05	0.498081679324748	4.50026819771184	10090
SRX386085	0.899552	13.4409563462668	10524	78298	31.0695236343572	6757	21748	0	0	61577	0.05	3.03499521212433	2.73809493894673	10090
SRX386086	0.1722220182706	15.6440777542211	12249	78298	35.8469744344307	7796	21748	0	0	61577	0.05	1.69629646808221	2.70137069546667	10090
SRX386087	0.615632	15.5521213824108	12177	78298	37.1666360125069	8083	21748	0	0	61577	0.05	1.56360304095429	2.88636029609283	10090
SRX386088	1.44957e-08	15.479322588061	12120	78298	39.7875666727975	8653	21748	0	0	61577	0.05	2.8138500075952	2.37109113809876	10090
SRX4955486	1.9877e-07	27.3831488314883	8905	32520	32.989933941491	8390	25432	0	0	28223	0.05	1.20487851894467	3.95142713913642	7955
SRX4955487	3.44168e-08	28.410209102091	9239	32520	34.814407046241	8854	25432	0	0	28223	0.05	1.44409184627548	3.27472285158989	7955
SRX4955488	8.49914e-07	23.8991389913899	7772	32520	29.1679773513684	7418	25432	0	0	28223	0.05	1.40175414183912	3.48122144921682	7955
SRX4955489	2.34151e-08	26.4975399753998	8617	32520	32.2625039320541	8205	25432	0	0	28223	0.05	1.1065782999522	3.73533557682427	7955
SRX4955490	4.0591e-08	24.4126691266913	7939	32520	29.9072035231205	7606	25432	0	0	28223	0.05	1.16393065360258	3.7127238360053	7955
SRX4955491	7.28615e-09	25.4889298892989	8289	32520	31.1969172695816	7934	25432	0	0	28223	0.05	1.22553032116469	4.2397290375352	7955
SRX4955492	1.76816	23.5977859778598	7674	32520	28.5113243158226	7251	25432	0	0	28223	0.05	1.51501331995858	3.91724203273969	7955
