sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMN16730742	SRP292191	SRX9481837	SRR13025201	1261865	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR13025201/SRR13025201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR13025201/SRR13025201_2.fastq.gz	NA
SAMN16730768	SRP292191	SRX9482466	SRR13025205	1668011	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR13025205/SRR13025205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR13025205/SRR13025205_2.fastq.gz	NA
SAMN16730766	SRP292191	SRX9482468	SRR13025207	1155120	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR13025207/SRR13025207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR13025207/SRR13025207_2.fastq.gz	NA
SAMN16730739	SRP292191	SRX9482478	SRR13025217	1610416	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13025217/SRR13025217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13025217/SRR13025217_2.fastq.gz	NA
SAMN16730737	SRP292191	SRX9482480	SRR13025219	1495743	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13025219/SRR13025219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13025219/SRR13025219_2.fastq.gz	NA
SAMN16730771	SRP292191	SRX9483062	SRR13025881	1328521	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/081/SRR13025881/SRR13025881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/081/SRR13025881/SRR13025881_2.fastq.gz	NA
SAMN16730816	SRP292191	SRX9483719	SRR13025897	1115134	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13025897/SRR13025897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13025897/SRR13025897_2.fastq.gz	NA
SAMN16730450	SRP292191	SRX9483741	SRR13025919	1840502	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13025919/SRR13025919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13025919/SRR13025919_2.fastq.gz	NA
SAMN16730449	SRP292191	SRX9483742	SRR13025920	1625264	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13025920/SRR13025920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13025920/SRR13025920_2.fastq.gz	NA
SAMN16730465	SRP292191	SRX9484365	SRR13025935	1067770	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/035/SRR13025935/SRR13025935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/035/SRR13025935/SRR13025935_2.fastq.gz	NA
