libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	anatId	sex	strain	readLength	genotype	organism
ERX1226353	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226354	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226355	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226356	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226357	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226358	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226359	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226360	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226361	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226362	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226363	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226364	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226365	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226366	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226367	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226368	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226369	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226370	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226371	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226372	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226373	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226374	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226375	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226376	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226377	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226378	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226379	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000017	UBERON:0000922		CD-1	125		Mus_musculus
