libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
SRX6060812	144011135	26	98	64594233	26372508	44.9	18.3	0	Fri Jan 12 13:14:08 2024	0.46.0
SRX6060813	147867362	26	98	64193984	22524042	43.4	15.2	0	Fri Jan 12 13:22:10 2024	0.46.0
SRX6060814	146270359	26	98	63208307	22285443	43.2	15.2	0	Fri Jan 12 13:12:38 2024	0.46.0
SRX6060815	152830322	26	98	77387498	65784596	50.6	43	0	Fri Jan 12 13:16:55 2024	0.46.0
SRX6060816	141694666	26	98	72224903	61401399	51	43.3	0	Fri Jan 12 13:13:26 2024	0.46.0
SRX6060817	164046353	26	98	90872843	76239139	55.4	46.5	0	Fri Jan 12 13:21:57 2024	0.46.0
SRX6060818	164239105	26	98	90091858	74983661	54.9	45.7	0	Fri Jan 12 13:14:08 2024	0.46.0
SRX6060823	152200352	26	98	76102202	62676395	50	41.2	0	Fri Jan 12 13:13:26 2024	0.46.0
SRX6060824	124896366	26	98	61876905	50938936	49.5	40.8	0	Fri Jan 12 13:26:55 2024	0.46.0
SRX6060825	143658051	26	98	75430492	59444142	52.5	41.4	0	Fri Jan 12 13:19:07 2024	0.46.0
SRX6060826	162145872	26	98	84902051	66055316	52.4	40.7	0	Fri Jan 12 13:14:08 2024	0.46.0
SRX6060831	188784687	26	98	119842959	39489312	63.5	20.9	0	Fri Jan 12 13:13:17 2024	0.46.0
SRX6060832	184508521	26	98	119896603	39169811	65	21.2	0	Fri Jan 12 13:26:58 2024	0.46.0
SRX6060833	193811412	26	98	129407606	41195275	66.8	21.3	0	Fri Jan 12 13:14:26 2024	0.46.0
SRX6060834	190829992	26	98	127065650	40358117	66.6	21.1	0	Fri Jan 12 13:28:52 2024	0.46.0
SRX6060839	175222172	26	98	135035441	49830138	77.1	28.4	0	Fri Jan 12 13:14:39 2024	0.46.0
SRX6060840	177309220	26	98	136970084	59349851	77.2	33.5	0	Fri Jan 12 13:25:40 2024	0.46.0
SRX6060841	220499857	26	98	176583555	59595500	80.1	27	0	Fri Jan 12 13:19:56 2024	0.46.0
SRX6060842	186929553	26	98	149834976	58572046	80.2	31.3	0	Fri Jan 12 13:23:40 2024	0.46.0
SRX6859234	54482159	28	91	35031737	13111677	64.3	24.1	0	Fri Jan 12 12:53:51 2024	0.46.0
SRX6859235	61183062	28	91	40667217	14531570	66.5	23.8	0	Fri Jan 12 12:53:36 2024	0.46.0
SRX6859236	71859378	28	91	36778046	13937704	51.2	19.4	0	Fri Jan 12 12:52:36 2024	0.46.0
SRX6859237	52247369	28	91	28553974	9837976	54.7	18.8	0	Fri Jan 12 12:53:51 2024	0.46.0
SRX6859238	73443126	28	91	38842247	14843675	52.9	20.2	0	Fri Jan 12 12:53:06 2024	0.46.0
SRX6859239	62182176	28	91	32564700	12292190	52.4	19.8	0	Fri Jan 12 12:53:21 2024	0.46.0
SRX6936042	212491217	26	57	0	0	0	0	0	Fri Jan 12 12:45:05 2024	0.46.0
SRX6936043	254797475	26	57	0	0	0	0	0	Fri Jan 12 12:46:51 2024	0.46.0
SRX7869893	116564572	26	57	0	0	0	0	0	Fri Jan 12 14:48:05 2024	0.46.0
SRX7869895	102413133	26	57	0	0	0	0	0	Fri Jan 12 14:48:04 2024	0.46.0
SRX8419314	553541529	28	91	338667952	128040320	61.2	23.1	0	Fri Jan 12 12:03:46 2024	0.46.0
SRX8419315	500563247	28	91	322662779	99467974	64.5	19.9	0	Fri Jan 12 12:03:32 2024	0.46.0
SRX8419316	501306179	28	91	340089050	123490210	67.8	24.6	0	Fri Jan 12 12:03:32 2024	0.46.0
SRX8419317	1235427852	28	91	844359912	245541657	68.3	19.9	0	Fri Jan 12 12:03:32 2024	0.46.0
SRX8419318	478514990	28	91	297912873	97476765	62.3	20.4	0	Fri Jan 12 12:03:32 2024	0.46.0
SRX8419319	487999309	28	91	285449316	103940925	58.5	21.3	0	Fri Jan 12 12:03:32 2024	0.46.0
SRX8419320	1217140272	28	91	733990097	230367089	60.3	18.9	0	Mon Jan 15 09:26:39 2024	0.46.0
SRX8419321	502095710	28	91	278448657	105987922	55.5	21.1	0	Fri Jan 12 12:03:48 2024	0.46.0
SRX8419322	539457468	28	91	319770314	105533698	59.3	19.6	0	Fri Jan 12 12:03:31 2024	0.46.0
SRX8419323	517231599	28	91	341686376	106858785	66.1	20.7	0	Fri Jan 12 12:03:46 2024	0.46.0
SRX8635112	823020840	151	151	25453911	16240022	3.1	2	0	Mon Jan 15 09:27:11 2024	0.46.0
SRX8635113	861610927	151	151	543214753	130581408	63	15.2	0	Mon Jan 15 09:27:12 2024	0.46.0
SRX8657660	384758486	28	110	348924578	87095368	90.7	22.6	0	Fri Jan 12 12:54:51 2024	0.46.0
SRX9904377	381823225	26	115	352134454	102871773	92.2	26.9	0	Fri Jan 12 12:55:06 2024	0.46.0
SRX9940562	350105696	26	98	205613607	42360933	58.7	12.1	0	Fri Jan 12 13:33:12 2024	0.46.0
SRX9940563	275073159	26	98	158134508	30697648	57.5	11.2	0	Fri Jan 12 13:33:27 2024	0.46.0
SRX9940564	359673560	26	98	223561463	43781787	62.2	12.2	0	Fri Jan 12 13:33:27 2024	0.46.0
SRX9940565	355179228	26	98	200689446	37277880	56.5	10.5	0	Fri Jan 12 13:33:57 2024	0.46.0
SRX9940596	2892555503	28	98	1522885067	575427744	52.6	19.9	0	Fri Jan 12 14:47:49 2024	0.46.0
