libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
ERX1226358	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226359	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226360	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226361	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226362	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226363	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226364	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226365	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000017	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226366	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226367	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226368	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
ERX1226369	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	NA	Adapted_SMART_seq2	Full-length	NA	whole organism	MmusDv:0000094	UBERON:0000922	(Missing)	CD-1	SINGLE	Mus_musculus
