CL:4023064	CL:2000029
CL:4023064	CL:0010011
CL:4023069	CL:0000099
CL:4023069	CL:0010011
CL:4023041	CL:0010012
CL:4023041	CL:0000598
CL:4023041	CL:0000679
CL:4023013	CL:0010012
CL:4023013	CL:0000679
CL:4023018	CL:0000099
CL:4023018	CL:0012001
CL:4023018	CL:0011005
CL:4023097	CL:0000057
CL:4023097	CL:0002319
CL:4030059	CL:0010012
CL:4030059	CL:0000679
CL:4030060	CL:0010012
CL:4030060	CL:0000679
CL:4030062	CL:0010012
CL:4030062	CL:0000679
CL:4030064	CL:0010012
CL:4030064	CL:0000679
CL:4030065	CL:0010012
CL:4030065	CL:0000679
CL:4023057	CL:1001611
CL:4023057	CL:0011005
CL:4030050	CL:1001474
CL:4030050	CL:0002613
CL:4030051	CL:1001474
CL:4030051	CL:0002613
CL:4023039	CL:0012001
CL:4023039	CL:0000679
CL:4023068	CL:0012001
CL:4023068	CL:0000679
CL:4023074	CL:0012001
CL:4023008	CL:0010012
CL:4023008	CL:0000679
CL:4023012	CL:0010012
CL:4023012	CL:0000679
CL:4023038	CL:0010012
CL:4023038	CL:0000679
CL:4030053	CL:0002613
CL:4030053	CL:0000617
CL:4030053	CL:0000120
CL:4023060	CL:0002608
CL:4023181	CL:0002319
CL:4023181	CL:0000710
CL:4042003	CL:0000878
CL:4023161	CL:0000679
CL:4023161	CL:0000099
CL:4023011	CL:4023064
CL:4023017	CL:4023069
CL:4023036	CL:4023069
CL:4023015	CL:4023064
CL:4023016	CL:4023064
CL:4023121	CL:4023069
CL:4023042	CL:4023013
CL:4042013	CL:4023069
CL:4042013	CL:4023011
CL:4023160	CL:2000029
CL:4023160	CL:0000617
CL:4023160	CL:1001509
