speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
64144	Anabas	testudineus	Climbing perch					64144		ANATE|Amphiprion testudineus|Anabas testudines|Anthias testudineus|Antias testudineus	
64680	Tamias	sibiricus	Siberian chipmunk					64680		TAMSI|Tamias asiaticus|Tamias sibricus	
69293	Gasterosteus	aculeatus	Three-spined stickleback					69293		GASAC|three spined stickleback	
87289	Varecia	variegata variegata	Black and white ruffed lemur					87289		VARVV	
99883	Tetraodon	nigroviridis	Spotted green pufferfish					99883		TETNG	
105023	Nothobranchius	furzeri	Turquoise killifish					105023		NOTFU	
106881	Latimeria	menadoensis	Indonesian coelacanth					106881		LATME|Menado coelacanth|king of the sea	
109280	Hippocampus	comes	Tiger tail seahorse					109280		HIPCM	
125945	Drosophila	biarmipes	Fruit fly					125945		DROBM	
134910	Apodemus	uralensis	Herb field mouse					134910		APOUR|Sylvaemus uralensis|Ural field mouse|pygmy field mouse	
187017	Murina	leucogaster	Greater tube-nosed bat					187017		MURLE	
205130	Mastacembelus	armatus	zig-zag eel					205130		Macrognathus armatus	
379532	Propithecus	coquereli	Coquerel's sifaka					379532		PROCO	
681894	Hyphessobrycon	anisitsi	Buenos Aires tetra					681894		Hemigrammus anisitsi|Hemigrammus caudovittatus	
1041015	Drosophila	rhopaloa	Fruit fly					1041015		DRORH	
